Stage,Category,Level,Items
Stage 0,Logging,Level 1,Butchery Table
Stage 0,Logging,Level 1,Hewn Chair
Stage 0,Logging,Level 2,Hewn Table
Stage 0,Logging,Level 2,Hewn Bench
Stage 0,Logging,Level 3,Hewn Dresser
Stage 0,Logging,Level 4,Hewn Nightstand
Stage 0,Hunting,Level 4,Bison Mount
Stage 0,Hunting,Level 4,Elk Mount
Stage 0,Hunting,Level 4,Goat Mount
Stage 0,Hunting,Level 4,Sheep Mount
Stage 0,Hunting,Level 5,Stuffed Bison
Stage 0,Hunting,Level 5,Stuffed Elk
Stage 0,Hunting,Level 5,Stuffed Jaguar
Stage 0,Hunting,Level 5,Stuffed Goat
Stage 0,Hunting,Level 5,Stuffed Wolf
Stage 0,Hunting,Level 5,Stuffed Alligator
Stage 1,Carpentry,Level 1,Icebox
Stage 1,Carpentry,Level 1,Wooden Straw Bed
Stage 1,Carpentry,Level 2,Lumber Chair
Stage 1,Carpentry,Level 2,Decrotive Ship Wheel
Stage 1,Carpentry,Level 2,Wooden Latrine
Stage 1,Carpentry,Level 3,Lumber Bench
Stage 1,Carpentry,Level 4,Bookshelf
Stage 1,Carpentry,Level 4,Ornate Frame
Stage 1,Carpentry,Level 4,Wooden Frame
Stage 1,Carpentry,Level 4,Towel Rack
Stage 1,Carpentry,Level 5,Lumber Dresser
Stage 1,Carpentry,Level 5,Shelf Cabinet
Stage 1,Carpentry,Level 5,Wooden Ceiling Light
Stage 1,Carpentry,Level 5,Wooden Floor Lamp
Stage 1,Carpentry,Level 6,Lumber Table
Stage 1,Carpentry,Level 6,Kitchen
Stage 1,Carpentry,Level 6,Wooden Kitchen Lamp
Stage 1,Carpentry,Level 6,Wooden Table Lamp
Stage 1,Carpentry,Level 6,Wooden Fabric Bed
Stage 1,Masonry,Level 1,Mill
Stage 1,Masonry,Level 1,Stone Brazier
Stage 1,Masonry,Level 1,Mortared Stone Chair
Stage 1,Masonry,Level 2,Mortared Stone Table
Stage 1,Masonry,Level 2,Limestone Otter Statue
Stage 1,Masonry,Level 2,Tallow Lmap
Stage 1,Masonry,Level 3,Mortared Stone Bench
Stage 1,Masonry,Level 3,Limestone Wolf Statue
Stage 1,Masonry,Level 4,Limestone Owl Statue
Stage 1,Masonry,Level 5,Mortared Stone Fireplace
Stage 1,Masonry,Level 6,Limestone Bison Statue
Stage 1,Farming,Level 2,Tallow Candle
Stage 1,Farming,Level 3,Salt Basket
Stage 1,Shipwright,Level 2,Decrotive Life Preserver
Stage 1,Shipwright,Level 4,Decrotive Hanging Buoy
Stage 1.5,Smelting,Level 2,Brazier
Stage 1.5,Smelting,Level 3,Candle Stand
Stage 1.5,Smelting,Level 3,Ceiling Candle
Stage 1.5,Smelting,Level 3,Wall Candle
Stage 1.5,Smelting,Level 3,Tallow Wall Lamp
Stage 1.5,Smelting,Level 4,Decrotive Anchor
Stage 1.5,Smelting,Level 4,Orante Gold Frame
Stage 1.5,Smelting,Level 4,Orante Iron Frame
Stage 1.5,Smelting,Level 4,Gold Frame
Stage 1.5,Smelting,Level 4,Iron Frame
Stage 1.5,Smelting,Level 4,Copper Frame
Stage 1.5,Paper Milling,Level 1,Large Festive Paper Lantern
Stage 1.5,Paper Milling,Level 1,Large Paper Lantern
Stage 1.5,Paper Milling,Level 1,Small Paper Lantern
